src_player_id,ActivityMonth,Product,SubProduct,ActivePlayerDays,Bet_Amount,Win_Amount,Gross_Win,Net_Gross_Win,,
16585649,2020-08-31,SportsBook,Livebook,1,500,0,500,420,,
12845036,2019-05-31,SportsBook,Prematch,28,1229,1178,42,35,,
12720869,2021-06-30,eGaming,Non Table Games,1,73,46,27,23,,
18979743,2021-02-28,eGaming,Non Table Games,1,52,22,30,25,,
12580168,2020-12-31,eGaming,Non Table Games,1,74,55,19,16,,
15908466,2020-11-30,SportsBook,Livebook,3,459,283,176,148,,
17719414,2021-01-31,SportsBook,Livebook,21,947,695,253,212,,
16763464,2020-08-31,IVG,IVG,1,20,0,20,17,,
13939149,2019-12-31,eGaming,Non Table Games,2,1841,2118,295,248,,
13876790,2020-07-31,eGaming,Non Table Games,1,0,0,0,0,,
17686111,2020-11-30,SportsBook,Livebook,3,175,120,55,46,,
16277359,2020-07-31,eGaming,Table Games,2,34,9,25,21,,
17771765,2021-05-31,SportsBook,Prematch,6,191,0,191,160,,
13269808,2020-03-31,SportsBook,Livebook,2,63,0,63,53,,
13024592,2019-08-31,SportsBook,Prematch,7,25,0,25,21,,
17605880,2020-10-31,eGaming,Table Games,1,57,18,39,32,,
15013705,2020-02-29,eGaming,Table Games,1,17,8,9,8,,
19133197,2021-03-31,eGaming,Non Table Games,10,2564,2511,52,44,,
13304636,2020-08-31,SportsBook,Livebook,8,59,29,29,24,,
13741687,2020-10-31,SportsBook,Livebook,5,192,189,3,3,,
12845768,2020-10-31,SportsBook,Prematch,1,40,0,40,34,,
19956539,2021-04-30,SportsBook,Livebook,1,3123,2633,490,412,,
13241831,2021-04-30,SportsBook,Prematch,5,365,331,14,12,,
19288414,2021-06-30,eGaming,Non Table Games,20,5375,5121,254,213,,
17856321,2021-04-30,SportsBook,Livebook,3,60,0,60,50,,
14559046,2020-01-31,SportsBook,Prematch,10,1495,1552,57,48,,
12534847,2019-02-28,SportsBook,Prematch,16,211,29,174,146,,
16341364,2021-04-30,Lottery,Lucky Six,1,12,3,9,8,,
17986095,2020-12-31,SportsBook,Livebook,2,9,0,9,8,,
12451979,2021-01-31,SportsBook,Livebook,4,104,85,19,16,,
